feature,importance
atom_j_NONE,0.32459333338019886
distance,0.3076007014446289
target_type_V,0.29508399598577406
atom_i_O,0.033419214824465054
ddec_charge_i,0.013115857217351005
ddec_charge_j,0.005915009048296153
atom_i_Cu,0.004105311547059561
atom_i_Zr,0.003711095586871971
volume,0.003400336332258497
atom_j_Cu,0.001828040943469136
atom_i_C,0.0013285726237561436
atom_j_O,0.001258825349705073
atom_i_Hf,0.0011534831921915251
pld,0.0008582906731958612
atom_j_S,0.0007263520480587097
atom_i_N,0.0006749350434919577
atom_i_S,0.0005480463360005223
density,0.0004919527059860805
atom_j_N,0.00016114239847907444
atom_j_I,7.1709129141882966e-06
atom_i_I,6.295354120094454e-06
atom_i_Sc,4.2107969625750415e-06
atom_j_Sc,3.0317545995567582e-06
atom_j_Zr,1.4124259616529996e-06
atom_i_Ni,1.207154967304499e-06
atom_j_Ni,7.589156596170945e-07
atom_j_Br,3.763077642417303e-07
atom_j_Rh,2.4910749214684623e-07
atom_i_Br,1.4820228035711357e-07
atom_j_Cl,1.414987182945303e-07
atom_j_Sn,1.056111976277076e-07
atom_i_Sn,9.307007662343902e-08
atom_i_Cl,8.243724898153445e-08
atom_i_H,7.887507018352541e-08
atom_j_H,7.498296417528772e-08
atom_j_Hf,5.140043672562828e-08
atom_j_C,1.4067333386942615e-08
atom_i_Co,2.668523497846889e-10
atom_j_Y,1.7614193330106823e-10
atom_j_Pd,0.0
atom_j_W,0.0
atom_j_Ru,0.0
atom_j_Pt,0.0
atom_j_Ti,0.0
atom_j_P,0.0
atom_j_Re,0.0
atom_i_Ir,0.0
atom_j_Mo,0.0
atom_j_Ir,0.0
atom_i_Mo,0.0
atom_j_Co,0.0
atom_i_W,0.0
atom_i_Ti,0.0
atom_i_Ru,0.0
atom_i_Rh,0.0
atom_i_Re,0.0
atom_i_Pt,0.0
atom_i_Pd,0.0
atom_i_P,0.0
atom_i_Y,0.0
